sample,204129_at,204230_s_at,204272_at,204475_at,204533_at
condition1,8.290737599999998,8.212118076,7.463420144,11.04488308,8.553626182999999
condition2,8.030865427,7.406678294,6.888128104,10.74692149,12.66453673
control,8.506327996,8.020268855,7.305521497999999,10.29896567,6.7272592410000005
control,8.612934542,8.476817914,7.488691395,9.555710337999999,7.182239093
